Growth-Media	WELL-ID	In-Group
PMA carbon source test + salicin	D2	Biolog PM2 - Carbon Sources
PMA nitrogen source test + 2-phthalimidoglutarate	D2	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + D-mannose 6-phosphate	D2	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 2-butanoate	D12	Biolog PM2 - Carbon Sources
PMA carbon source test + uridine	D12	Biolog PM1 - Carbon Sources
PMA nitrogen source test + agmatine	D12	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + uridine 3'5'-cyclic monophosphate	D12	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 5-aminopentanoate	D11	Biolog PM2 - Carbon Sources
PMA carbon source test + sucrose	D11	Biolog PM1 - Carbon Sources
PMA nitrogen source test + putrescine	D11	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + uridine 2'3'-cyclic monophosphate	D11	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 4-aminobutyrate	D10	Biolog PM2 - Carbon Sources
PMA carbon source test + lactulose	D10	Biolog PM1 - Carbon Sources
PMA nitrogen source test + ethylenediamine	D10	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + UMP	D10	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + asn	D1	Biolog PM1 - Carbon Sources
PMA carbon source test + raffinose	D1	Biolog PM2 - Carbon Sources
PMA nitrogen source test + <i>N</i>-acetyl-D,L-glutamate	D1	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + &alpha;-D-mannose 1-phosphate	D1	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 1-O-methyl-&beta;-D-glucuronate	C9	Biolog PM2 - Carbon Sources
PMA carbon source test + &alpha;-D-glucose	C9	Biolog PM1 - Carbon Sources
PMA nitrogen source test + D-valine	C9	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cytidine-3'-monophosphate	C9	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + 3-O-methyl-d-glucose	C8	Biolog PM2 - Carbon Sources
PMA carbon source test + acetate	C8	Biolog PM1 - Carbon Sources
PMA nitrogen source test + D-serine	C8	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + cytidine 2'-monophosphate	C8	Biolog PM4 - Phosphorus and Sulfur Sources
PMA carbon source test + D-fructose	C7	Biolog PM1 - Carbon Sources
PMA carbon source test + methyl-&beta;-D-galactoside	C7	Biolog PM2 - Carbon Sources
PMA nitrogen source test + D-lysine	C7	Biolog PM3 - Nitrogen Sources
PMA phosphorus source test + 6-phospho-D-gluconate	C7	Biolog PM4 - Phosphorus and Sulfur Sources
