dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
108,83333,chrR,chrR,NE,,PEC
108,83333,cirA,cirA,NE,,PEC
108,83333,citC,citC,NE,,PEC
108,83333,citD,citD,NE,,PEC
108,83333,citE,citE,NE,,PEC
108,83333,citF,citF,NE,,PEC
108,83333,citG,citG,NE,,PEC
108,83333,citT,citT,NE,,PEC
108,83333,citX,citX,NE,,PEC
108,83333,clcA,clcA,NE,,PEC
108,83333,clcB,clcB,NE,,PEC
108,83333,clpA,clpA,NE,,PEC
108,83333,clpB,clpB,NE,,PEC
108,83333,clpP,clpP,NE,,PEC
108,83333,clpS,clpS,NE,,PEC
108,83333,clpX,clpX,NE,,PEC
108,83333,clsA,clsA,NE,,PEC
108,83333,clsB,clsB,NE,,PEC
108,83333,clsC,clsC,NE,,PEC
108,83333,cmk,cmk,NE,,PEC
108,83333,cmlA,cmlA,NE,,PEC
108,83333,cmoA,cmoA,NE,,PEC
108,83333,cmoB,cmoB,NE,,PEC
108,83333,cmtA,cmtA,NE,,PEC
108,83333,cmtB,cmtB,NE,,PEC
108,83333,cnu,cnu,NE,,PEC
108,83333,coaA,coaA,E,,PEC
108,83333,coaD,coaD,E,,PEC
108,83333,coaE,coaE,E,,PEC
108,83333,cobB,cobB,NE,,PEC
108,83333,cobC,cobC,NE,,PEC
108,83333,cobS,cobS,NE,,PEC
108,83333,cobT,cobT,NE,,PEC
108,83333,cobU,cobU,NE,,PEC
108,83333,codA,codA,NE,,PEC
108,83333,codB,codB,NE,,PEC
108,83333,cof,cof,NE,,PEC
108,83333,cog,cog,NE,,PEC
108,83333,cohE,cohE,NE,,PEC
108,83333,copA,copA,NE,,PEC
108,83333,corA,corA,NE,,PEC
108,83333,cpdA,cpdA,NE,,PEC
108,83333,cpdB,cpdB,NE,,PEC
108,83333,cpsA,cpsA,NE,,PEC
108,83333,cpsB,cpsB,NE,,PEC
108,83333,cpsC,cpsC,NE,,PEC
108,83333,cpsD,cpsD,NE,,PEC
108,83333,cpsF,cpsF,NE,,PEC
108,83333,cpsG,cpsG,NE,,PEC
108,83333,cptA,cptA,NE,,PEC
108,83333,cptB,cptB,NE,,PEC
108,83333,cpxA,cpxA,NE,,PEC
108,83333,cpxB,cpxB,NE,,PEC
108,83333,cpxP,cpxP,NE,,PEC
108,83333,cpxR,cpxR,NE,,PEC
108,83333,cra,cra,NE,,PEC
108,83333,crcB,crcB,NE,,PEC
108,83333,creA,creA,NE,,PEC
108,83333,creB,creB,NE,,PEC
108,83333,creC,creC,NE,,PEC
108,83333,creD,creD,NE,,PEC
108,83333,crg,crg,NE,,PEC
108,83333,crl,crl,NE,,PEC
108,83333,croE,croE,NE,,PEC
108,83333,crp,crp,NE,,PEC
108,83333,crr,crr,NE,,PEC
108,83333,csdA,csdA,NE,,PEC
108,83333,csdE,csdE,NE,,PEC
108,83333,csdL,csdL,NE,,PEC
108,83333,csgA,csgA,NE,,PEC
108,83333,csgB,csgB,NE,,PEC
108,83333,csgC,csgC,NE,,PEC
108,83333,csgD,csgD,NE,,PEC
108,83333,csgE,csgE,NE,,PEC
108,83333,csgF,csgF,NE,,PEC
108,83333,csgG,csgG,NE,,PEC
108,83333,csiA,csiA,NE,,PEC
108,83333,csiB,csiB,NE,,PEC
108,83333,csiC,csiC,NE,,PEC
108,83333,csiD,csiD,NE,,PEC
108,83333,csiE,csiE,NE,,PEC
108,83333,csiF,csiF,NE,,PEC
108,83333,csiR,csiR,NE,,PEC
108,83333,cspA,cspA,NE,,PEC
108,83333,cspB,cspB,NE,,PEC
108,83333,cspC,cspC,NE,,PEC
108,83333,cspD,cspD,NE,,PEC
108,83333,cspE,cspE,NE,,PEC
108,83333,cspF,cspF,NE,,PEC
108,83333,cspG,cspG,NE,,PEC
108,83333,cspH,cspH,NE,,PEC
108,83333,cspI,cspI,NE,,PEC
108,83333,csrA,csrA,E,,PEC
108,83333,csrB,csrB,NE,,PEC
108,83333,csrC,csrC,NE,,PEC
108,83333,csrD,csrD,NE,,PEC
108,83333,cstA,cstA,NE,,PEC
108,83333,cueO,cueO,NE,,PEC
108,83333,cueR,cueR,NE,,PEC
108,83333,cup,cup,NE,,PEC
108,83333,curA,curA,NE,,PEC
108,83333,cusA,cusA,NE,,PEC
108,83333,cusB,cusB,NE,,PEC
108,83333,cusC,cusC,NE,,PEC
108,83333,cusF,cusF,NE,,PEC
108,83333,cusR,cusR,NE,,PEC
108,83333,cusS,cusS,NE,,PEC
108,83333,cutA,cutA,NE,,PEC
